lecturer_id,first_name,last_name,email,password,user_type
928996,Lily,Blakely,blakely.lily@example.edu,password,2
903368,Jasper,Chen,chen.jasper@example.edu,password,2
995133,Isaac,Huntington,huntington.isaac@example.edu,password,2
949141,Felix,Baxter,baxter.felix@example.edu,password,2
907949,Genevieve,Alvarez,alvarez.genevieve@example.edu,password,2
924046,Jasper,Gallagher,gallagher.jasper@example.edu,password,2
917171,Silas,Hendricks,hendricks.silas@example.edu,password,2
970151,Sadie,Blakely,blakely.sadie@example.edu,password,2
956216,Adeline,Prescott,prescott.adeline@example.edu,password,2
920954,Xavier,Rockwell,rockwell.xavier@example.edu,password,2
980074,Samuel,Windham,windham.samuel@example.edu,password,2
949701,Henry,Hwang,hwang.henry@example.edu,password,2
911873,Everett,Lowry,lowry.everett@example.edu,password,2
945027,Lily,Townsend,townsend.lily@example.edu,password,2
915544,Oliver,Kensington,kensington.oliver@example.edu,password,2
993091,Josephine,Huntington,huntington.josephine@example.edu,password,2
906850,Penelope,Donovan,donovan.penelope@example.edu,password,2
982946,Samuel,Ellington,ellington.samuel@example.edu,password,2
989699,Florence,Park,park.florence@example.edu,password,2
925745,Wesley,Santiago,santiago.wesley@example.edu,password,2
901589,Freya,Montoya,montoya.freya@example.edu,password,2
969796,Freya,Sutherland,sutherland.freya@example.edu,password,2
925354,Wesley,Choi,choi.wesley@example.edu,password,2
991909,Leo,Sinclair,sinclair.leo@example.edu,password,2
949429,Matteo,Hwang,hwang.matteo@example.edu,password,2
971147,Harper,Hackett,hackett.harper@example.edu,password,2
930714,Silas,McMillan,mcmillan.silas@example.edu,password,2
966004,Isla,Fairchild,fairchild.isla@example.edu,password,2
913676,Miles,Wiley,wiley.miles@example.edu,password,2
950344,Daphne,Sinclair,sinclair.daphne@example.edu,password,2
946832,Josephine,Cabrera,cabrera.josephine@example.edu,password,2
981117,Gabriel,Davenport,davenport.gabriel@example.edu,password,2
997114,Clara,Callahan,callahan.clara@example.edu,password,2
932112,Daphne,Hendricks,hendricks.daphne@example.edu,password,2
986417,Josephine,Delgado,delgado.josephine@example.edu,password,2
968302,Harper,Blakely,blakely.harper@example.edu,password,2
970908,Sadie,Remington,remington.sadie@example.edu,password,2
982458,Elsie,Montoya,montoya.elsie@example.edu,password,2
991256,Julian,Sinclair,sinclair.julian@example.edu,password,2
952659,Felix,Davenport,davenport.felix@example.edu,password,2
928484,Sadie,Delgado,delgado.sadie@example.edu,password,2
934839,Harper,Ellington,ellington.harper@example.edu,password,2
940322,Levi,Warrington,warrington.levi@example.edu,password,2
960234,Caleb,Sutherland,sutherland.caleb@example.edu,password,2
925268,Lucas,Wiley,wiley.lucas@example.edu,password,2
901911,Josephine,Stanton,stanton.josephine@example.edu,password,2
937406,Genevieve,Cabrera,cabrera.genevieve@example.edu,password,2
901358,Silas,Fairchild,fairchild.silas@example.edu,password,2
984252,Daphne,Buchanan,buchanan.daphne@example.edu,password,2
992016,Maeve,Ashford,ashford.maeve@example.edu,password,2
945967,Henry,Callahan,callahan.henry@example.edu,password,2
985351,Levi,Hackett,hackett.levi@example.edu,password,2
994721,Penelope,Hwang,hwang.penelope@example.edu,password,2
980625,Freya,Calhoun,calhoun.freya@example.edu,password,2
936387,Felix,Sandoval,sandoval.felix@example.edu,password,2
927187,Elijah,Baxter,baxter.elijah@example.edu,password,2
960256,Samuel,Santiago,santiago.samuel@example.edu,password,2
954962,Elijah,Ashford,ashford.elijah@example.edu,password,2
941684,Lily,Leclerc,leclerc.lily@example.edu,password,2
972715,Elijah,Windham,windham.elijah@example.edu,password,2
943858,Caleb,Donovan,donovan.caleb@example.edu,password,2
946093,Luna,Sandoval,sandoval.luna@example.edu,password,2
963028,Luna,Llewellyn,llewellyn.luna@example.edu,password,2
942363,Miles,Santiago,santiago.miles@example.edu,password,2
971025,Gabriel,Hollingsworth,hollingsworth.gabriel@example.edu,password,2
966616,Maeve,Galloway,galloway.maeve@example.edu,password,2
940480,Maeve,Montgomery,montgomery.maeve@example.edu,password,2
907012,Matteo,McPherson,mcpherson.matteo@example.edu,password,2
908362,Xavier,Escobar,escobar.xavier@example.edu,password,2
921352,Isla,Ellington,ellington.isla@example.edu,password,2
980938,Penelope,Blakely,blakely.penelope@example.edu,password,2
971629,Julian,Kensington,kensington.julian@example.edu,password,2
977210,Xavier,Ashby,ashby.xavier@example.edu,password,2
924887,Sadie,Park,park.sadie@example.edu,password,2
983381,Theodore,Choi,choi.theodore@example.edu,password,2
958146,Lily,Leclerc,leclerc.lily@example.edu,password,2
957736,Isaac,Llewellyn,llewellyn.isaac@example.edu,password,2
992540,Adeline,Sinclair,sinclair.adeline@example.edu,password,2
938231,Wesley,Llewellyn,llewellyn.wesley@example.edu,password,2
920230,Leo,Fitzpatrick,fitzpatrick.leo@example.edu,password,2
922528,Josephine,Hackett,hackett.josephine@example.edu,password,2
906352,Everett,Alvarez,alvarez.everett@example.edu,password,2
970178,Penelope,Park,park.penelope@example.edu,password,2
974904,Imogen,Beaumont,beaumont.imogen@example.edu,password,2
986209,Penelope,Lowry,lowry.penelope@example.edu,password,2
922932,Lucas,Sinclair,sinclair.lucas@example.edu,password,2
931768,Josephine,Ellington,ellington.josephine@example.edu,password,2
979637,Lucas,Hollingsworth,hollingsworth.lucas@example.edu,password,2
952639,Isaac,Echols,echols.isaac@example.edu,password,2
900115,Leo,Choi,choi.leo@example.edu,password,2
967885,Josephine,Covington,covington.josephine@example.edu,password,2
979378,Penelope,Lovelace,lovelace.penelope@example.edu,password,2
983713,Luna,Huntington,huntington.luna@example.edu,password,2
945740,Lucas,Davenport,davenport.lucas@example.edu,password,2
962463,Elsie,Donovan,donovan.elsie@example.edu,password,2
928073,Isaac,Harrington,harrington.isaac@example.edu,password,2
965293,Mia,Fitzpatrick,fitzpatrick.mia@example.edu,password,2
991519,Imogen,Calhoun,calhoun.imogen@example.edu,password,2
949043,Felix,Sutherland,sutherland.felix@example.edu,password,2
990075,Jasper,Lovelace,lovelace.jasper@example.edu,password,2
980520,Josephine,Beaumont,beaumont.josephine@example.edu,password,2
990468,Luna,Windham,windham.luna@example.edu,password,2
969125,Freya,Royce,royce.freya@example.edu,password,2
905486,Maeve,Covington,covington.maeve@example.edu,password,2
973895,Adelaide,McPherson,mcpherson.adelaide@example.edu,password,2
947279,Adelaide,Escobar,escobar.adelaide@example.edu,password,2
995406,Levi,McPherson,mcpherson.levi@example.edu,password,2
902234,Julian,O'Rourke,o'rourke.julian@example.edu,password,2
932542,Mia,Monroe,monroe.mia@example.edu,password,2
955657,Luna,Rockwell,rockwell.luna@example.edu,password,2
936396,Penelope,Santiago,santiago.penelope@example.edu,password,2
966989,Elijah,Ashford,ashford.elijah@example.edu,password,2
909475,Silas,Maddox,maddox.silas@example.edu,password,2
959468,Oliver,Beaumont,beaumont.oliver@example.edu,password,2
915318,Oliver,Baxter,baxter.oliver@example.edu,password,2
954043,Florence,Stetson,stetson.florence@example.edu,password,2
982573,Lily,Donovan,donovan.lily@example.edu,password,2
902663,Maeve,Sandoval,sandoval.maeve@example.edu,password,2
914229,Julian,Escobar,escobar.julian@example.edu,password,2
952149,Genevieve,Ashford,ashford.genevieve@example.edu,password,2
989806,Matteo,Hwang,hwang.matteo@example.edu,password,2
926693,Leo,Remington,remington.leo@example.edu,password,2
953439,Aurora,Remington,remington.aurora@example.edu,password,2
972468,Elsie,Remington,remington.elsie@example.edu,password,2
964712,Isaac,Prescott,prescott.isaac@example.edu,password,2
940236,Penelope,Callahan,callahan.penelope@example.edu,password,2
997309,Maeve,Hendricks,hendricks.maeve@example.edu,password,2
944088,Silas,Sandoval,sandoval.silas@example.edu,password,2
965587,Henry,Ashford,ashford.henry@example.edu,password,2
954106,Sadie,Lovelace,lovelace.sadie@example.edu,password,2
951501,Luna,Kensington,kensington.luna@example.edu,password,2
987921,Felix,Stanton,stanton.felix@example.edu,password,2
958869,Mia,Lovelace,lovelace.mia@example.edu,password,2
979822,Wesley,Lockwood,lockwood.wesley@example.edu,password,2
904053,Elsie,Lowry,lowry.elsie@example.edu,password,2
969233,Leo,Stanton,stanton.leo@example.edu,password,2
927051,Sadie,Gallagher,gallagher.sadie@example.edu,password,2
991936,Florence,Stanton,stanton.florence@example.edu,password,2
996311,Luna,Llewellyn,llewellyn.luna@example.edu,password,2
940632,Sadie,Hendricks,hendricks.sadie@example.edu,password,2
928574,Elijah,Lovelace,lovelace.elijah@example.edu,password,2
964545,Gabriel,Fairchild,fairchild.gabriel@example.edu,password,2
911223,Elsie,Park,park.elsie@example.edu,password,2
947310,Elsie,Ashford,ashford.elsie@example.edu,password,2
988637,Hazel,Kensington,kensington.hazel@example.edu,password,2
957673,Felix,Lowry,lowry.felix@example.edu,password,2
921493,Leo,Kensington,kensington.leo@example.edu,password,2
961317,Sadie,Stetson,stetson.sadie@example.edu,password,2
980477,Theodore,Cabrera,cabrera.theodore@example.edu,password,2
929040,Elsie,Warrington,warrington.elsie@example.edu,password,2
