lecturer_id,first_name,last_name,email,user_type
999323,Florence,Prescott,prescott.florence@example.edu,2
965284,Elsie,Kensington,kensington.elsie@example.edu,2
915244,Florence,Sandoval,sandoval.florence@example.edu,2
900469,Adeline,Stetson,stetson.adeline@example.edu,2
955454,Harper,Kensington,kensington.harper@example.edu,2
952667,Xavier,Warrington,warrington.xavier@example.edu,2
911282,Silas,Remington,remington.silas@example.edu,2
936306,Sadie,McMillan,mcmillan.sadie@example.edu,2
902860,Hazel,Hendricks,hendricks.hazel@example.edu,2
992689,Miles,Stanton,stanton.miles@example.edu,2
900769,Adelaide,Windham,windham.adelaide@example.edu,2
930229,Miles,St. Clair,st. clair.miles@example.edu,2
986611,Matteo,Delgado,delgado.matteo@example.edu,2
900041,Caleb,Lockwood,lockwood.caleb@example.edu,2
986779,Harper,Chen,chen.harper@example.edu,2
911600,Josephine,Prescott,prescott.josephine@example.edu,2
995875,Wesley,Fairchild,fairchild.wesley@example.edu,2
914470,Hazel,Leclerc,leclerc.hazel@example.edu,2
924456,Penelope,Baxter,baxter.penelope@example.edu,2
993169,Matteo,Gallagher,gallagher.matteo@example.edu,2
970840,Daphne,Sandoval,sandoval.daphne@example.edu,2
911780,Adelaide,Davenport,davenport.adelaide@example.edu,2
989249,Aurora,McPherson,mcpherson.aurora@example.edu,2
915934,Penelope,Royce,royce.penelope@example.edu,2
985715,Levi,Echols,echols.levi@example.edu,2
987870,Miles,Kensington,kensington.miles@example.edu,2
986985,Imogen,Prescott,prescott.imogen@example.edu,2
985953,Genevieve,Prescott,prescott.genevieve@example.edu,2
998725,Isla,Sandoval,sandoval.isla@example.edu,2
913017,Elijah,Galloway,galloway.elijah@example.edu,2
980734,Luna,Hollingsworth,hollingsworth.luna@example.edu,2
915309,Adeline,Maddox,maddox.adeline@example.edu,2
966620,Harper,Chen,chen.harper@example.edu,2
994287,Imogen,Townsend,townsend.imogen@example.edu,2
974637,Matteo,Donovan,donovan.matteo@example.edu,2
998483,Josephine,Donovan,donovan.josephine@example.edu,2
995767,Luna,Montgomery,montgomery.luna@example.edu,2
914260,Henry,Donovan,donovan.henry@example.edu,2
